key|volume|ects
Information générale||
Analyser la situation d’une organisation en vue d’adapter et gérer son système d’information|TOTAL : 132h Répartition : CM : 44h TD : 88h CI : 0h TP : 0h EAD : 0h|
Politique de financements|TOTAL : 44h Répartition : CM : 16h TD : 28h CI : 0h TP : 0h EAD : 0h|
Ingénierie des Réseaux|TOTAL : 44h Répartition : CM : 12h TD : 16h CI : 0h TP : 16h EAD : 0h|
Management d'équipe|TOTAL : 24h Répartition : CM : 0h TD : 24h CI : 0h TP : 0h EAD : 0h|
Concevoir, développer et tester des applications dans des environnements spécifiques|TOTAL : 180h Répartition : CM : 56h TD : 76h CI : 0h TP : 48h EAD : 0h|
Données sur le Web|TOTAL : 28h Répartition : CM : 12h TD : 8h CI : 0h TP : 8h EAD : 0h|
Modélisation et vérifications des modèles|TOTAL : 44h Répartition : CM : 12h TD : 20h CI : 0h TP : 12h EAD : 0h|
Anglais|TOTAL : 32h Répartition : CM : 0h TD : 32h CI : 0h TP : 0h EAD : 0h|
Périodes de formation alternées en milieu pro. 1|TOTAL : 0h Répartition : CM : 0h TD : 0h CI : 0h TP : 0h EAD : 0h|
